subject	session	block	trial 	response duration	typeTop	typeBot	sameFlag	response	correctFlag	rt	rtFlag	face_top	x_top_target	y_top_target	x_top_probe	y_top_probe	face_bot	x_bot_target	y_bot_target	x_bot_probe	y_bot_probe
1	1	2	1	0.2	3	3	2	2	1	278.05	1	19	1	3	3	1	3	3	1	1	3
1	1	2	2	0.2	1	1	1	1	1	262.25	1	15	3	1	3	1	3	3	1	3	1
1	1	2	3	0.05	1	1	1	2	0	268.12	1	15	1	1	1	1	8	1	3	1	3
1	1	2	4	0.2	3	3	2	1	0	215.6	1	14	3	3	1	1	3	3	1	1	3
1	1	2	5	1.8	3	3	2	2	1	176.68	1	19	3	1	1	3	17	3	3	1	1
1	1	2	6	1.8	1	1	1	1	1	186.57	1	20	1	3	1	3	5	1	3	1	3
1	1	2	7	0.1	1	1	1	2	0	237.23	1	12	1	1	1	1	2	3	1	3	1
1	1	2	8	0.8	1	1	1	2	0	192.6	1	8	3	1	3	1	11	3	3	3	3
1	1	2	9	0.4	1	1	1	1	1	211.85	1	16	1	3	1	3	12	3	1	3	1
1	1	2	10	0.05	1	1	1	2	0	267.84	1	1	1	1	1	1	2	1	1	1	1
1	1	2	11	0.05	1	1	1	1	1	233.2	1	9	1	3	1	3	3	1	1	1	1
1	1	2	12	1.8	1	1	1	2	0	192.94	1	6	3	1	3	1	2	1	1	1	1
1	1	2	13	0.8	3	3	2	1	0	197.33	1	6	1	3	3	1	7	3	1	1	3
1	1	2	14	0.2	3	3	2	2	1	243.09	1	15	1	1	3	3	20	3	1	1	3
1	1	2	15	0.05	1	1	1	1	1	274.85	1	3	3	3	3	3	11	1	3	1	3
1	1	2	16	0.05	1	1	1	2	0	228.56	1	7	3	1	3	1	4	1	3	1	3
1	1	2	17	0.1	3	3	2	1	0	245.37	1	1	1	1	3	3	15	1	3	3	1
1	1	2	18	0.05	3	3	2	2	1	276	1	14	1	3	3	1	12	3	3	1	1
1	1	2	19	0.8	3	3	2	1	0	248.58	1	6	3	1	1	3	17	3	3	1	1
1	1	2	20	0.2	1	1	1	2	0	266.89	1	17	3	1	3	1	5	3	1	3	1
1	1	2	21	0.4	3	3	2	1	0	203.21	1	8	1	3	3	1	9	3	1	1	3
1	1	2	22	0.05	3	3	2	1	0	283.35	1	5	3	1	1	3	2	1	3	3	1
1	1	2	23	1.8	1	1	1	2	0	198.12	1	1	3	1	3	1	8	1	3	1	3
1	1	2	24	0.1	1	1	1	2	0	360.29	0	9	3	1	3	1	3	1	1	1	1
1	1	2	25	0.2	1	1	1	2	0	196.55	1	15	1	3	1	3	2	3	1	3	1
1	1	2	26	0.4	3	3	99	99	99	99	99	20	1	1	3	3	19	1	3	3	1
1	1	2	27	0.05	3	3	2	1	0	330.63	0	8	1	3	3	1	19	3	3	1	1
1	1	2	28	0.1	3	3	2	2	1	192.02	1	9	3	1	1	3	9	3	3	1	1
1	1	2	29	0.8	3	3	2	2	1	195.79	1	3	3	3	1	1	10	1	3	3	1
1	1	2	30	1.8	1	1	1	2	0	201.39	1	13	3	1	3	1	11	3	3	3	3
1	1	2	31	0.4	3	3	2	1	0	264.57	1	7	1	1	3	3	4	1	1	3	3
